campanha,campanha_id,objetivo,data,impressoes,alcance,frequencia,cliques,ctr,cpc,cpm,custo,link_click,valor_link_click,custo_link_click,landing_page_view,valor_landing_page_view,custo_landing_page_view,lead,valor_lead,custo_lead,purchase,valor_purchase,custo_purchase,add_to_cart,valor_add_to_cart,custo_add_to_cart,initiate_checkout,valor_initiate_checkout,custo_initiate_checkout,complete_registration,valor_complete_registration,custo_complete_registration,post_engagement,valor_post_engagement,custo_post_engagement,post_reaction,valor_post_reaction,custo_post_reaction,page_engagement,valor_page_engagement,custo_page_engagement,offsite_conversion.fb_pixel_purchase,valor_offsite_conversion.fb_pixel_purchase,custo_offsite_conversion.fb_pixel_purchase,offsite_conversion.fb_pixel_lead,valor_offsite_conversion.fb_pixel_lead,custo_offsite_conversion.fb_pixel_lead,offsite_conversion.fb_pixel_view_content,valor_offsite_conversion.fb_pixel_view_content,custo_offsite_conversion.fb_pixel_view_content,quality_ranking,engagement_rate_ranking,conversion_rate_ranking,outbound_clicks,hourly_stats_aggregated_by_advertiser_time_zone,shopping
ALC Winter 25,120227162349160087,OUTCOME_AWARENESS,2025-09-20,513,0,0.0,0,0.0,0.0,1.247563,0.64,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,29.0,0,0.022069,0.0,0,0,29.0,0,0.022069,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,00:00:00 - 00:59:59,CS
ALC Moda - Julho a Setembro 25,120228732607280087,OUTCOME_AWARENESS,2025-09-20,2027,0,0.0,1,0.049334,2.85,1.406019,2.85,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,154.0,0,0.018506,1.0,0,0,154.0,0,0.018506,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,00:00:00 - 00:59:59,CS
ALC Mr. Cat - Novidade!,120230466692930087,OUTCOME_AWARENESS,2025-09-20,2128,0,0.0,0,0.0,0.0,1.400376,2.98,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,157.0,0,0.018981,0.0,0,0,157.0,0,0.018981,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,00:00:00 - 00:59:59,CS
ALC Outback - Chef de Alto Nível NOVIDADE,120231345976010087,OUTCOME_AWARENESS,2025-09-20,296,0,0.0,3,1.013514,0.133333,1.351351,0.4,2.0,0,0.2,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,30.0,0,0.013333,0.0,0,0,30.0,0,0.013333,0,0,0,0.0,0,0,0.0,0,0,,,,2.0,00:00:00 - 00:59:59,CS
ALC Restaurantes & PET,120231653162250087,OUTCOME_AWARENESS,2025-09-20,2540,0,0.0,5,0.19685,0.718,1.413386,3.59,5.0,0,0.718,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,142.0,0,0.025282,1.0,0,0,142.0,0,0.025282,0,0,0,0.0,0,0,0.0,0,0,,,,5.0,00:00:00 - 00:59:59,CS
ALC Expo Arábia,120232039727720087,OUTCOME_AWARENESS,2025-09-20,4739,0,0.0,21,0.443131,0.303333,1.344165,6.37,5.0,0,1.274,1.0,0,6.37,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,341.0,0,0.01868,4.0,0,0,341.0,0,0.01868,0,0,0,0.0,0,0,0.0,0,0,,,,5.0,00:00:00 - 00:59:59,CS
ALC Cotton On - Novidade!,120232087508760087,OUTCOME_AWARENESS,2025-09-20,3483,0,0.0,3,0.086133,1.663333,1.432673,4.99,3.0,0,1.663333,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,138.0,0,0.036159,0.0,0,0,138.0,0,0.036159,0,0,0,0.0,0,0,0.0,0,0,,,,3.0,00:00:00 - 00:59:59,CS
ALC Encontro de Porsches,120232197819760087,OUTCOME_AWARENESS,2025-09-20,34,0,0.0,0,0.0,0.0,0.882353,0.03,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,00:00:00 - 00:59:59,CS
ALC Continente Night RUN - Vendas!,120232284160870087,OUTCOME_AWARENESS,2025-09-20,6681,0,0.0,14,0.209549,0.691429,1.448885,9.68,10.0,0,0.968,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,44.0,0,0.22,0.0,0,0,44.0,0,0.22,0,0,0,0.0,0,0,0.0,0,0,,,,10.0,00:00:00 - 00:59:59,CS
ALC Mileninha,120232537982950087,OUTCOME_AWARENESS,2025-09-20,10685,0,0.0,24,0.224614,0.707917,1.59008,16.99,4.0,0,4.2475,4.0,0,4.2475,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,923.0,0,0.018407,5.0,0,0,923.0,0,0.018407,0,0,0,0.0,0,0,0.0,0,0,,,,4.0,00:00:00 - 00:59:59,CS
ALC Encontro de Labubus,120232762646630087,OUTCOME_AWARENESS,2025-09-20,6700,0,0.0,22,0.328358,0.478182,1.570149,10.52,9.0,0,1.168889,1.0,0,10.52,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,213.0,0,0.04939,1.0,0,0,213.0,0,0.04939,0,0,0,0.0,0,0,0.0,0,0,,,,9.0,00:00:00 - 00:59:59,CS
ALC Encontro de Beagles,120232764161050087,OUTCOME_AWARENESS,2025-09-20,5800,0,0.0,16,0.275862,0.540625,1.491379,8.65,15.0,0,0.576667,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,19.0,0,0.455263,1.0,0,0,19.0,0,0.455263,0,0,0,0.0,0,0,0.0,0,0,,,,15.0,00:00:00 - 00:59:59,CS
ALC Dia do Sorvete,120232769969850087,OUTCOME_AWARENESS,2025-09-20,3868,0,0.0,12,0.310238,0.446667,1.385729,5.36,3.0,0,1.786667,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,5.0,0,1.072,0.0,0,0,5.0,0,1.072,0,0,0,0.0,0,0,0.0,0,0,,,,3.0,00:00:00 - 00:59:59,CS
ALC Bacio di Latte em dobro,120232832665160087,OUTCOME_AWARENESS,2025-09-20,426,0,0.0,0,0.0,0.0,1.666667,0.71,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,21.0,0,0.03381,0.0,0,0,21.0,0,0.03381,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,00:00:00 - 00:59:59,CS
ALC GIFT CARD,120232929013550087,OUTCOME_AWARENESS,2025-09-20,1796,0,0.0,4,0.222717,0.665,1.481069,2.66,3.0,0,0.886667,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,78.0,0,0.034103,1.0,0,0,78.0,0,0.034103,0,0,0,0.0,0,0,0.0,0,0,,,,3.0,00:00:00 - 00:59:59,CS
ALC Tio Nick no WOW PARK,120233107668550087,OUTCOME_AWARENESS,2025-09-20,283,0,0.0,0,0.0,0.0,1.448763,0.41,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,00:00:00 - 00:59:59,CS
VND Jantar de Halloween 25,120233110627190087,OUTCOME_SALES,2025-09-20,71,0,0.0,3,4.225352,0.123333,5.211268,0.37,2.0,0,0.185,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,3.0,0,0.123333,0.0,0,0,3.0,0,0.123333,0,0,0,0.0,0,0,0.0,0,0,,,,2.0,00:00:00 - 00:59:59,CS
ALC Mr. Cat - Novidade!,120230466692930087,OUTCOME_AWARENESS,2025-10-01,4493,0,0.0,4,0.089027,1.545,1.375473,6.18,3.0,0,2.06,2.0,0,3.09,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,285.0,0,0.021684,1.0,0,0,285.0,0,0.021684,0,0,0,0.0,0,0,0.0,0,0,,,,3.0,00:00:00 - 00:59:59,CS
ALC Restaurantes & PET,120231653162250087,OUTCOME_AWARENESS,2025-10-01,980,0,0.0,2,0.204082,0.645,1.316327,1.29,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,50.0,0,0.0258,0.0,0,0,50.0,0,0.0258,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,00:00:00 - 00:59:59,CS
ALC Cotton On - Novidade!,120232087508760087,OUTCOME_AWARENESS,2025-10-01,6743,0,0.0,4,0.059321,2.29,1.358446,9.16,2.0,0,4.58,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,330.0,0,0.027758,1.0,0,0,330.0,0,0.027758,0,0,0,0.0,0,0,0.0,0,0,,,,2.0,00:00:00 - 00:59:59,CS
ALC Continente Night RUN - Vendas!,120232284160870087,OUTCOME_AWARENESS,2025-10-01,15230,0,0.0,36,0.236376,0.578333,1.367039,20.82,25.0,0,0.8328,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,244.0,0,0.085328,1.0,0,0,244.0,0,0.085328,0,0,0,0.0,0,0,0.0,0,0,,,,25.0,00:00:00 - 00:59:59,CS
ALC GIFT CARD,120232929013550087,OUTCOME_AWARENESS,2025-10-01,9482,0,0.0,8,0.08437,1.625,1.371019,13.0,6.0,0,2.166667,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,355.0,0,0.03662,1.0,0,0,355.0,0,0.03662,0,0,0,0.0,0,0,0.0,0,0,,,,6.0,00:00:00 - 00:59:59,CS
ALC Tio Nick no WOW PARK,120233107668550087,OUTCOME_AWARENESS,2025-10-01,4406,0,0.0,9,0.204267,0.637778,1.302769,5.74,7.0,0,0.82,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,8.0,0,0.7175,1.0,0,0,8.0,0,0.7175,0,0,0,0.0,0,0,0.0,0,0,,,,7.0,00:00:00 - 00:59:59,CS
VND Jantar de Halloween 25,120233110627190087,OUTCOME_SALES,2025-10-01,1827,0,0.0,37,2.025178,0.240541,4.871374,8.9,30.0,0,0.296667,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,34.0,0,0.261765,3.0,0,0,34.0,0,0.261765,0,0,0,0.0,0,0,0.0,0,0,,,,30.0,00:00:00 - 00:59:59,CS
[TFG] Jantar de Halloween Outback,120233541559050087,LINK_CLICKS,2025-10-01,2672,0,0.0,70,2.61976,0.133857,3.506737,9.37,50.0,0,0.1874,43.0,0,0.217907,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,57.0,0,0.164386,3.0,0,0,57.0,0,0.164386,0,0,0,0.0,0,0,0.0,0,0,,,,49.0,00:00:00 - 00:59:59,CS
[ALC] Encontro com Gabby,120233542045710087,OUTCOME_AWARENESS,2025-10-01,5590,0,0.0,6,0.107335,1.355,1.454383,8.13,3.0,0,2.71,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,207.0,0,0.039275,0.0,0,0,207.0,0,0.039275,0,0,0,0.0,0,0,0.0,0,0,,,,3.0,00:00:00 - 00:59:59,CS
[ALC] Encontro com Gabby 02,120233543624060087,LINK_CLICKS,2025-10-01,2875,0,0.0,112,3.895652,0.101607,3.958261,11.38,57.0,0,0.199649,25.0,0,0.4552,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,697.0,0,0.016327,13.0,0,0,697.0,0,0.016327,0,0,0,0.0,0,0,0.0,0,0,,,,57.0,00:00:00 - 00:59:59,CS
[ALC] Programação infantil,120233683270170087,OUTCOME_AWARENESS,2025-10-01,9911,0,0.0,20,0.201796,0.7065,1.425689,14.13,16.0,0,0.883125,4.0,0,3.5325,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,17.0,0,0.831176,1.0,0,0,17.0,0,0.831176,0,0,0,0.0,0,0,0.0,0,0,,,,16.0,00:00:00 - 00:59:59,CS
[ALC] Chegada do Papai Noel 01,120233867518940087,OUTCOME_AWARENESS,2025-10-01,8873,0,0.0,31,0.349375,0.396774,1.386228,12.3,15.0,0,0.82,1.0,0,12.3,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,18.0,0,0.683333,3.0,0,0,18.0,0,0.683333,0,0,0,0.0,0,0,0.0,0,0,,,,15.0,00:00:00 - 00:59:59,CS
[ALC] Stories Natal 02,120233867994020087,OUTCOME_AWARENESS,2025-10-01,9343,0,0.0,11,0.117735,1.182727,1.392486,13.01,4.0,0,3.2525,1.0,0,13.01,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,7.0,0,1.858571,3.0,0,0,7.0,0,1.858571,0,0,0,0.0,0,0,0.0,0,0,,,,4.0,00:00:00 - 00:59:59,CS
[ALC] Corrida Night Run,120233884785960087,LINK_CLICKS,2025-10-01,2665,0,0.0,98,3.677298,0.12051,4.43152,11.81,82.0,0,0.144024,62.0,0,0.190484,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,92.0,0,0.12837,9.0,0,0,92.0,0,0.12837,0,0,0,0.0,0,0,0.0,0,0,,,,82.0,00:00:00 - 00:59:59,CS
[ALC] Chegada do papai noel 03,120234003967010087,OUTCOME_AWARENESS,2025-10-01,7699,0,0.0,13,0.168853,0.876154,1.479413,11.39,5.0,0,2.278,3.0,0,3.796667,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,462.0,0,0.024654,2.0,0,0,462.0,0,0.024654,0,0,0,0.0,0,0,0.0,0,0,,,,5.0,00:00:00 - 00:59:59,CS
[TFG] Night Run,120234004302300087,LINK_CLICKS,2025-10-01,3191,0,0.0,69,2.162332,0.192174,4.155437,13.26,55.0,0,0.241091,46.0,0,0.288261,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,68.0,0,0.195,5.0,0,0,68.0,0,0.195,0,0,0,0.0,0,0,0.0,0,0,,,,55.0,00:00:00 - 00:59:59,CS
[TFG] Virada de lote - CS Run,120234004569030087,LINK_CLICKS,2025-10-01,3857,0,0.0,44,1.140783,0.320682,3.658284,14.11,32.0,0,0.440938,8.0,0,1.76375,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,36.0,0,0.391944,4.0,0,0,36.0,0,0.391944,0,0,0,0.0,0,0,0.0,0,0,,,,32.0,00:00:00 - 00:59:59,CS
[ALC] CS Night Run contagem,120234004722730087,OUTCOME_AWARENESS,2025-10-01,6532,0,0.0,14,0.214329,0.67,1.436007,9.38,8.0,0,1.1725,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,9.0,0,1.042222,0.0,0,0,9.0,0,1.042222,0,0,0,0.0,0,0,0.0,0,0,,,,8.0,00:00:00 - 00:59:59,CS
[ALC] CS Night Run - geral,120234005014520087,OUTCOME_AWARENESS,2025-10-01,6612,0,0.0,10,0.15124,0.964,1.457955,9.64,6.0,0,1.606667,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,7.0,0,1.377143,0.0,0,0,7.0,0,1.377143,0,0,0,0.0,0,0,0.0,0,0,,,,6.0,00:00:00 - 00:59:59,CS
[ALC] Vídeo Night Run,120234005259520087,OUTCOME_AWARENESS,2025-10-01,7027,0,0.0,5,0.071154,2.122,1.50989,10.61,5.0,0,2.122,1.0,0,10.61,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,624.0,0,0.017003,0.0,0,0,624.0,0,0.017003,0,0,0,0.0,0,0,0.0,0,0,,,,5.0,00:00:00 - 00:59:59,CS
[ALC] Bailinho Kids Halloween,120234206811950087,OUTCOME_AWARENESS,2025-10-01,7966,0,0.0,10,0.125534,1.21,1.518956,12.1,7.0,0,1.728571,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,9.0,0,1.344444,0.0,0,0,9.0,0,1.344444,0,0,0,0.0,0,0,0.0,0,0,,,,7.0,00:00:00 - 00:59:59,CS
[ENG] Bailinho de Halloween,120234207111020087,OUTCOME_ENGAGEMENT,2025-10-01,994,0,0.0,23,2.313883,0.32913,7.615694,7.57,10.0,0,0.757,5.0,0,1.514,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,50.0,0,0.1514,39.0,0,0,50.0,0,0.1514,0,0,0,0.0,0,0,0.0,0,0,,,,10.0,00:00:00 - 00:59:59,CS
[TFG] Night Run 02,120234219373560087,LINK_CLICKS,2025-10-01,1842,0,0.0,91,4.940282,0.152308,7.52443,13.86,74.0,0,0.187297,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,567.0,0,0.024444,3.0,0,0,567.0,0,0.024444,0,0,0,0.0,0,0,0.0,0,0,,,,1.0,00:00:00 - 00:59:59,CS
[ALC] Night Run 03,120234220168660087,OUTCOME_AWARENESS,2025-10-01,5084,0,0.0,8,0.157356,0.9325,1.467349,7.46,4.0,0,1.865,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,498.0,0,0.01498,1.0,0,0,498.0,0,0.01498,0,0,0,0.0,0,0,0.0,0,0,,,,4.0,00:00:00 - 00:59:59,CS
[ENG] Chegada do Papai Noel,120234398644480087,OUTCOME_ENGAGEMENT,2025-10-01,535,0,0.0,18,3.364486,0.270556,9.102804,4.87,5.0,0,0.974,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,42.0,0,0.115952,36.0,0,0,42.0,0,0.115952,0,0,0,0.0,0,0,0.0,0,0,,,,5.0,00:00:00 - 00:59:59,CS
[ALC] Nike Promoção Out,120234411870060087,OUTCOME_AWARENESS,2025-10-01,5346,0,0.0,9,0.16835,1.422222,2.394314,12.8,4.0,0,3.2,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,286.0,0,0.044755,0.0,0,0,286.0,0,0.044755,0,0,0,0.0,0,0,0.0,0,0,,,,4.0,00:00:00 - 00:59:59,CS
[TFG] Halloween WOW PARK,120234466390710087,LINK_CLICKS,2025-10-01,234,0,0.0,1,0.42735,0.96,4.102564,0.96,0.0,0,0.0,1.0,0,0.96,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,00:00:00 - 00:59:59,CS
[TFG] Halloween WOW PARK 02,120234467364050087,LINK_CLICKS,2025-10-01,487,0,0.0,4,0.821355,0.475,3.901437,1.9,3.0,0,0.633333,3.0,0,0.633333,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,4.0,0,0.475,0.0,0,0,4.0,0,0.475,0,0,0,0.0,0,0,0.0,0,0,,,,3.0,00:00:00 - 00:59:59,CS
[ALC] Feed Chegada do Papai Noel,120234468753100087,OUTCOME_AWARENESS,2025-10-01,5557,0,0.0,11,0.197949,0.890909,1.763541,9.8,9.0,0,1.088889,3.0,0,3.266667,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,10.0,0,0.98,1.0,0,0,10.0,0,0.98,0,0,0,0.0,0,0,0.0,0,0,,,,9.0,00:00:00 - 00:59:59,CS
[ALC] Reels Papai Noel,120234468893970087,OUTCOME_AWARENESS,2025-10-01,2179,0,0.0,2,0.091785,1.825,1.67508,3.65,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,66.0,0,0.055303,0.0,0,0,66.0,0,0.055303,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,00:00:00 - 00:59:59,CS
ALC Continente Night RUN - Vendas!,120232284160870087,OUTCOME_AWARENESS,2025-11-01,8501,0,0.0,14,0.164687,0.97,1.597459,13.58,10.0,0,1.358,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,10.0,0,1.358,0.0,0,0,10.0,0,1.358,0,0,0,0.0,0,0,0.0,0,0,,,,10.0,00:00:00 - 00:59:59,CS
ALC GIFT CARD,120232929013550087,OUTCOME_AWARENESS,2025-11-01,1724,0,0.0,1,0.058005,2.59,1.50232,2.59,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,74.0,0,0.035,0.0,0,0,74.0,0,0.035,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,00:00:00 - 00:59:59,CS
[ALC] Corrida Final,120235177303150087,OUTCOME_AWARENESS,2025-11-01,3964,0,0.0,10,0.25227,0.584,1.473259,5.84,8.0,0,0.73,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,8.0,0,0.73,0.0,0,0,8.0,0,0.73,0,0,0,0.0,0,0,0.0,0,0,,,,8.0,00:00:00 - 00:59:59,CS
[TFG] Corrida Story Final,120235177716760087,LINK_CLICKS,2025-11-01,1814,0,0.0,12,0.661522,0.715833,4.735391,8.59,9.0,0,0.954444,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,14.0,0,0.613571,2.0,0,0,14.0,0,0.613571,0,0,0,0.0,0,0,0.0,0,0,,,,9.0,00:00:00 - 00:59:59,CS
ALC - NATAL 25,120235302545560087,OUTCOME_AWARENESS,2025-11-01,12469,0,0.0,18,0.144358,1.114444,1.60879,20.06,11.0,0,1.823636,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,54.0,0,0.371481,3.0,0,0,54.0,0,0.371481,0,0,0,0.0,0,0,0.0,0,0,,,,11.0,00:00:00 - 00:59:59,CS
TRAF - NATAL 25,120235302629640087,LINK_CLICKS,2025-11-01,7553,0,0.0,93,1.231299,0.27957,3.442341,26.0,69.0,0,0.376812,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,287.0,0,0.090592,5.0,0,0,287.0,0,0.090592,0,0,0,0.0,0,0,0.0,0,0,,,,69.0,00:00:00 - 00:59:59,CS
[ALC] Pandora Black Friday,120235312805230087,OUTCOME_AWARENESS,2025-11-01,2360,0,0.0,3,0.127119,1.213333,1.542373,3.64,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,54.0,0,0.067407,0.0,0,0,54.0,0,0.067407,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,00:00:00 - 00:59:59,CS
[ALC] Promo Nike 30% OFF Nov,120235313060850087,OUTCOME_AWARENESS,2025-11-01,2272,0,0.0,4,0.176056,0.8575,1.509683,3.43,1.0,0,3.43,1.0,0,3.43,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,87.0,0,0.039425,0.0,0,0,87.0,0,0.039425,0,0,0,0.0,0,0,0.0,0,0,,,,1.0,00:00:00 - 00:59:59,CS
[ALC] Curso de Gestantes Nov.,120235518802250087,OUTCOME_AWARENESS,2025-11-01,6919,0,0.0,11,0.158983,1.038182,1.650528,11.42,10.0,0,1.142,1.0,0,11.42,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,10.0,0,1.142,0.0,0,0,10.0,0,1.142,0,0,0,0.0,0,0,0.0,0,0,,,,10.0,00:00:00 - 00:59:59,CS
[BF] ALC Riachuelo,120235701472890087,OUTCOME_AWARENESS,2025-11-01,2090,0,0.0,2,0.095694,1.875,1.794258,3.75,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2.0,0,1.875,2.0,0,0,2.0,0,1.875,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,00:00:00 - 00:59:59,CS
[BF] ALC Adcos,120235701675980087,OUTCOME_AWARENESS,2025-11-01,4924,0,0.0,7,0.142161,1.164286,1.655158,8.15,5.0,0,1.63,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,5.0,0,1.63,0.0,0,0,5.0,0,1.63,0,0,0,0.0,0,0,0.0,0,0,,,,5.0,00:00:00 - 00:59:59,CS
[BF] ALC Nike,120235703048250087,OUTCOME_AWARENESS,2025-11-01,2313,0,0.0,3,0.129702,1.24,1.608301,3.72,3.0,0,1.24,1.0,0,3.72,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,3.0,0,1.24,0.0,0,0,3.0,0,1.24,0,0,0,0.0,0,0,0.0,0,0,,,,3.0,00:00:00 - 00:59:59,CS
[BF] Outlet Aniversário,120235703488080087,OUTCOME_AWARENESS,2025-11-01,4497,0,0.0,9,0.200133,0.938889,1.87903,8.45,8.0,0,1.05625,1.0,0,8.45,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,201.0,0,0.04204,0.0,0,0,201.0,0,0.04204,0,0,0,0.0,0,0,0.0,0,0,,,,8.0,00:00:00 - 00:59:59,CS
[BF] Outlet Aniversário - 2,120235703619910087,OUTCOME_AWARENESS,2025-11-01,3509,0,0.0,1,0.028498,6.46,1.84098,6.46,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1.0,0,6.46,0.0,0,0,1.0,0,6.46,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,00:00:00 - 00:59:59,CS
[ALC] Black Friday Gastronomia,120235997770420087,OUTCOME_AWARENESS,2025-11-01,7266,0,0.0,20,0.275255,0.604,1.662538,12.08,12.0,0,1.006667,5.0,0,2.416,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,15.0,0,0.805333,0.0,0,0,15.0,0,0.805333,0,0,0,0.0,0,0,0.0,0,0,,,,12.0,00:00:00 - 00:59:59,CS
[ALC] Black Friday Jóias,120235998038130087,OUTCOME_AWARENESS,2025-11-01,10797,0,0.0,14,0.129666,1.213571,1.573585,16.99,9.0,0,1.887778,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,65.0,0,0.261385,0.0,0,0,65.0,0,0.261385,0,0,0,0.0,0,0,0.0,0,0,,,,9.0,00:00:00 - 00:59:59,CS
[ALC] Black Friday Inst.,120236147694890087,OUTCOME_AWARENESS,2025-11-01,17564,0,0.0,19,0.108176,1.611053,1.742769,30.61,13.0,0,2.354615,3.0,0,10.203333,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,494.0,0,0.061964,2.0,0,0,494.0,0,0.061964,0,0,0,0.0,0,0,0.0,0,0,,,,12.0,00:00:00 - 00:59:59,CS
[ENG] Post Foto Papai Noel,120236148415870087,OUTCOME_ENGAGEMENT,2025-11-01,1626,0,0.0,24,1.476015,0.34,5.01845,8.16,10.0,0,0.816,4.0,0,2.04,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,634.0,0,0.012871,28.0,0,0,634.0,0,0.012871,0,0,0,0.0,0,0,0.0,0,0,,,,10.0,00:00:00 - 00:59:59,CS
